iic_power_vs_random,iic_power_vs_not_in_largest_mcs,iic_power_vs_weakening
0.9637250742469241,1.0,0.8514657980456026
1.0,0.8354522339266255,1.0
0.8714590313737435,0.7802056555269923,0.731246125232486
0.8119341563786008,0.8184210526315789,0.7493975903614458
0.9668302589270604,1.0,0.6352148272957034
1.0,1.0,0.6879823594266814
0.9539533474704635,0.9342995169082126,0.9323107702567522
1.0,0.8269774011299436,0.47333699835074217
0.8570548367221196,0.5,0.0
0.9290681502086231,0.9432071269487751,0.865625
0.9563469270534176,0.956334386670497,0.9678918462188424
0.6604914933837429,1.0,0.1395184135977337
0.8278048780487804,0.735481453727988,0.0
0.9172185430463576,1.0,0.6662293361322488
1.0,1.0,0.9541790411540093
1.0,1.0,0.8315377081292851
0.8498908296943232,0.8496446145434664,0.8605830164765526
1.0,1.0,0.9124286102801197
0.9053041654180402,1.0,0.8260869565217391
0.9624608967674662,0.9624608967674662,0.8603401969561325
0.9593335216040666,1.0,0.7080123266563945
0.9572474377745241,0.9720948012232415,0.9572349150556532
0.9659724259313581,1.0,0.7621255349500713
0.9780898876404495,1.0,0.9842296805499393
0.9596309111880046,0.9312597200622084,0.9137560975609756
0.0,0.803004043905257,0.0
0.9177403369672944,0.9172482552342971,0.9371212121212121
0.9592616168045831,0.9368836291913215,0.866001617686708
0.9477381286878337,1.0,1.0
0.9506292352371732,1.0,0.43623481781376516
0.9958226654089746,0.9498364231188658,0.9196565470714505
1.0,0.9681724845995893,1.0
1.0,1.0,0.8016877637130801
1.0,0.9822294022617124,0.9800498753117207
0.973623322535863,1.0,0.9271383315733897
0.8814338235294118,0.0,0.0
1.0,0.9141433499425067,1.0
0.9551886792452831,0.9755679382768967,0.23062787136294027
1.0,1.0,0.7386231038506418
0.9457318861836316,0.5,0.0
0.9738769048090243,0.9213917525773195,0.5269855199648968
1.0,0.7176258992805755,0.43018867924528303
0.9761970661500139,1.0,0.8609913793103449
0.9809394145677331,0.9783867232728676,0.9179487179487179
0.7839699436443331,0.733640081799591,0.4706616729088639
0.9665109034267912,0.9664760914760915,0.8925494171312722
1.0,0.6284941388638413,0.5750825082508251
0.9889353331694123,1.0,0.5
1.0,1.0,0.5009940357852882
1.0,1.0,0.55858310626703
0.9694462126034373,1.0,0.9421338155515371
1.0,0.9110567115463076,0.8665389527458492
0.9907335907335907,0.9629629629629629,0.9657469077069457
0.9719719719719719,0.8460104399701716,0.8295491938137545
0.9693140794223827,0.9667535853976532,1.0
1.0,0.8667180277349769,0.29566929133858266
0.8444444444444444,0.8062360801781737,0.8210262828535669
0.9134337928823341,0.8703170028818443,0.6003805899143673
1.0,0.9364069952305246,0.8752066115702479
0.9932719546742209,1.0,0.9521178637200737
0.9822901992352586,0.8487277797141861,0.7978056426332288
0.9395248380129589,1.0,0.8132308720347478
0.93361285814116,1.0,0.391020999275887
1.0,1.0,0.9158388520971302
0.8994413407821229,1.0,0.6343028229255774
0.9270683194004036,1.0,1.0
1.0,0.7243947858472998,1.0
0.9144613739641807,0.912268677176148,0.9355877616747182
0.9537869062901155,1.0,0.6462998102466793
0.9828353464717101,0.5,0.5
1.0,1.0,0.5
0.8920377867746289,0.9223300970873787,0.8987485779294653
0.8714285714285714,0.8189944134078212,0.8113432835820895
0.9966384462151394,1.0,0.553038105046344
0.8510911424903723,1.0,0.7735765124555161
0.9737523105360444,0.7365269461077845,0.0
1.0,1.0,0.6833192209991532
0.6538461538461539,0.7126509853782581,0.7126509853782581
0.9439470611132736,1.0,0.9395085066162571
1.0,0.9328859060402684,0.9328859060402684
0.9436619718309859,1.0,0.876717415521723
0.9605202043660009,1.0,0.6436415161176053
0.9327796522190501,0.7889626980071538,0.7536132140399174
0.9398520424573817,0.7022784810126582,0.6097114063215758
1.0,0.8608,0.7283163265306123
1.0,0.9147621988882026,0.8806466951973372
0.9671338811019816,0.9434276206322796,1.0
0.9626313740755158,1.0,0.5
0.9892775082971662,0.7218543046357616,0.4713656387665198
0.9536191145467322,0.8917558212712398,0.9221311475409836
1.0,0.90515294600698,0.6412268188302425
0.9621402356577168,1.0,0.5
0.9977661950856291,0.9641791044776119,0.9810990549527476
0.9209876543209876,1.0,1.0
0.9817629179331308,0.9708654670094259,1.0
0.8607512953367875,0.7874524714828898,0.6623574144486692
0.9751045608444533,0.8949027850761955,0.8898678414096917
0.9319955406911928,0.8508917954815696,0.8474452554744526
0.9919118672430624,1.0,0.09169550173010381
0.9664839797639123,0.9769163763066202,0.421875
