iic_power_vs_random,iic_power_vs_not_in_largest_mcs,iic_power_vs_weakening
0.9993186745122329,0.9983429991714996,0.9990764421710713
0.9998807962808439,0.5,0.9982912473894058
0.9990494296577946,0.5,0.5
0.9998977191367495,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.5
0.9981024667931688,0.9943502824858758,0.9943502824858758
1.0,0.5,0.5
1.0,0.5,0.9943502824858758
0.9999442368817264,0.5,0.9943502824858758
0.9993388284039317,0.5,0.5
0.9994805194805195,0.9971751412429378,0.5
1.0,0.5,0.5
0.9999513358314274,0.5,0.5
1.0,0.5,0.9943502824858758
0.9999554645052107,0.9974245768947756,0.9972144846796658
1.0,0.5,0.9988279418659165
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.9943502824858758
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.9943502824858758,0.5
1.0,0.5,0.5
0.5,0.5,0.5
1.0,0.9943502824858758,0.9943502824858758
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.999756216479766,0.5
0.9998442428254352,0.9996814475025484,0.9943502824858758
0.9988839827259935,0.5,0.9943502824858758
0.9996767937944409,0.9943502824858758,0.5
0.9999341542108382,0.5,0.5
0.9995921696574225,0.9943502824858758,0.9943502824858758
1.0,0.5,0.5
0.9995106568073076,0.5,0.9943502824858758
0.9997677029695303,0.5,0.5
0.9996514009325025,0.9996259060088847,0.5
1.0,0.5,0.5
0.9999260245598461,0.5,0.5
1.0,0.5,0.9943502824858758
0.9997882701672666,0.5,0.9951737451737451
1.0,0.5,0.5
0.997134670487106,0.997134670487106,0.997134670487106
0.9996850393700787,0.5,0.5
1.0,0.5,0.5
0.9994324878857991,0.5,0.5
0.999751999503999,0.5,0.5
0.9998799327623469,0.5,0.5
0.9997807978956598,0.5,0.5
1.0,0.5,0.5
1.0,0.5,0.5
0.9998869928805515,0.5,0.5
0.999452804377565,0.5,0.5
0.9999209611128675,0.5,0.9979259566524941
0.9998004629260117,0.5,0.5
0.9997138114589892,0.5,0.9943502824858758
1.0,0.5,0.5
0.9989567031820553,0.5,0.5
1.0,0.5,0.5
0.9996230840103861,0.9943502824858758,0.9943502824858758
1.0,0.5,0.5
1.0,0.9943502824858758,0.9943502824858758
1.0,0.5,0.5
1.0,0.5,0.5
0.9999058114344919,0.5,0.5
0.9998089780324737,0.9943502824858758,0.9943502824858758
0.9999625215501087,0.5,0.5
1.0,0.5,0.9943502824858758
1.0,0.5,0.5
0.9996190476190476,0.9943502824858758,0.9943502824858758
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.9943502824858758,0.9943502824858758
0.9999029314696175,0.5,0.5
0.5,0.9943502824858758,0.9943502824858758
0.9998671890563783,0.9943502824858758,0.9943502824858758
0.9999002526931773,0.5,0.9998619547211486
0.99993767140364,0.5,0.5
0.9997940833276134,0.5,0.5
0.9998418347172796,0.5,0.9943502824858758
0.9997404170632517,0.5,0.5
1.0,0.5,0.5
0.999863257213182,0.5,0.5
0.9997784669915818,0.9999118010231082,0.9989320993147637
0.9999309725961206,0.5,0.5
1.0,0.9943502824858758,0.9943502824858758
0.9943502824858758,0.5,0.9943502824858758
1.0,0.5,0.5
1.0,0.5,0.5
1.0,0.9999564478899002,0.99964406478021
1.0,0.5,0.5
0.9997044043748152,0.5,0.5
1.0,0.9943502824858758,0.5
1.0,0.9994563529046288,0.9994563529046288
0.9998210210747684,0.5,0.5
1.0,0.5,0.5
