iic_power_vs_random,iic_power_vs_not_in_largest_mcs,iic_power_vs_weakening
0.9975349219391948,0.5,0.9625
0.9981060606060606,0.9967105263157895,0.9967105263157895
1.0,0.9966996699669967,0.9966996699669967
1.0,0.997500520724849,0.9966251845602193
1.0,0.995259540175397,0.9959552700452058
0.9943943943943944,0.5,0.993505175563223
0.9896675651392632,0.0,0.9259259259259259
1.0,0.5,0.5
1.0,0.9943752511048614,0.5
0.9988056136160047,0.9923647932131495,0.9904118544345173
0.99812382739212,0.5,0.9506172839506173
1.0,0.9970082273747195,0.9971634863331614
1.0,0.5,0.9951080309824705
1.0,1.0,0.9967105263157895
1.0,0.9625,0.9625
0.9960983222785798,0.9506172839506173,0.9939288811795317
1.0,0.5,0.5
0.9962525763537567,0.996246950647401,0.5
1.0,0.5,0.9506172839506173
1.0,0.9506172839506173,0.95
0.9961449498843485,0.996142719382835,0.9976465973720338
0.5,0.5,0.9506172839506173
1.0,1.0,1.0
0.9978070175438597,1.0,0.9967105263157895
0.9992260061919505,0.0,0.0
1.0,0.9506172839506173,0.0
1.0,0.9955956837700947,0.9946464421146554
0.9940476190476191,0.9927814121362508,0.9926672777268561
0.9965716734518963,0.5,0.9506172839506173
0.9911602209944751,0.9506172839506173,0.0
0.9975801572897761,0.9974193548387097,0.9946428571428572
0.9975046787273861,0.9944466481554939,0.9506172839506173
0.9988188976377953,0.9958797867183713,0.9958189867191343
0.9984533804684048,1.0,1.0
1.0,1.0,0.9967105263157895
0.9887508788375908,0.9887482419127989,0.9874517374517374
1.0,0.9967105263157895,0.9992489673300788
0.9745222929936306,0.5,0.5
0.9973684210526316,0.9967105263157895,0.9967105263157895
0.997143484948363,0.9967105263157895,0.9967105263157895
1.0,0.5,0.5
1.0,0.5,0.9791364821790786
0.9970909090909091,0.9954250857796416,0.9945914622368167
1.0,1.0,0.9966887417218543
1.0,1.0,1.0
1.0,0.9506172839506173,0.0
0.9985176950157495,0.9984744469870328,0.9946143489132525
0.9968608985677849,0.5,0.9506172839506173
1.0,1.0,0.9967105263157895
1.0,0.9912663755458515,0.5
1.0,0.5,0.9871794871794872
0.9966880563030428,0.5,0.9934594720859612
1.0,0.5,0.5
0.9955109020949123,0.0,0.994969128744569
0.9960687960687961,0.9880184331797235,0.9878391019644528
0.9973574102620568,0.9967105263157895,0.9982836301222914
1.0,1.0,0.9967105263157895
0.9990260530801072,0.5,0.9506172839506173
0.9953810623556582,0.5,0.9922279792746114
0.9994660021359915,0.9992585727525487,0.9967105263157895
0.9905355990535599,0.9905294877313818,0.5
0.9996865203761756,1.0,0.9966887417218543
0.9995126705653021,0.9992351816443594,0.9990174887011201
0.999466097170315,0.9984532095901005,0.5
1.0,0.5,0.9506172839506173
1.0,0.9966996699669967,1.0
0.9959750452807405,0.5,0.25245901639344265
0.9990298797050834,1.0,0.9967105263157895
0.9998198198198198,0.9871794871794872,0.9871794871794872
0.9941944847605225,0.9506172839506173,0.0
0.9962632343782437,0.5,0.9625
0.997779422649889,0.9904034896401308,0.5
0.9943865276663993,0.9774738535800482,0.9760152630144453
0.996876220226474,0.5,0.9506172839506173
1.0,0.998291693358958,0.9966887417218543
1.0,0.9506172839506173,0.95
1.0,1.0,1.0
0.9966729049698482,0.9966722129783694,0.995301487862177
0.9934747145187602,0.9506172839506173,0.9951816904236097
1.0,0.9966996699669967,1.0
0.9952380952380953,0.5,0.9934932899552664
0.9984338292873923,0.9987725040916531,0.5
0.9506172839506173,0.9895163211817966,0.9882179675994109
0.9976861590239798,0.9966996699669967,0.9946808510638298
0.9913232104121475,0.5,0.95
1.0,1.0,1.0
0.9904306220095693,0.5,0.9506172839506173
0.9986513823331086,0.9942985135410304,0.5
0.9975460122699387,0.5,0.9965782720273738
0.996083806540043,0.5,0.5
1.0,0.9963082602676512,0.994748687171793
0.9969106005020274,0.0,0.994622543950362
0.9952465834818776,0.9942112879884226,0.9923566878980892
0.9870550161812298,0.5,0.0
0.9901123595505618,0.9901123595505618,0.9890610756608933
0.9976147883124628,0.5,0.0
0.9942028985507246,0.5,0.9820390913893291
1.0,0.9506172839506173,0.9966811864758349
0.9978134110787172,0.9953134153485648,0.9952475247524752
0.9996440014239943,0.9966996699669967,1.0
